"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","18,291","18,610","18,610","17,942","5.73M","-0.57%"
"03/12/2026","18,396","18,170","18,654","18,133","3.79M","-1.41%"
"03/11/2026","18,660","18,805","18,941","18,219","4.54M","-1.56%"
"03/10/2026","18,955","19,100","19,437","18,784","4.91M","-0.09%"
"03/09/2026","18,973","18,950","19,154","18,560","4.05M","-1.18%"
"03/06/2026","19,200","19,931","20,345","18,986","5.43M","-4.79%"
"03/05/2026","20,165","19,970","20,371","19,504","6.18M","0.97%"
"03/04/2026","19,972","20,234","20,234","19,502","5.52M","-0.38%"
"03/03/2026","20,048","20,777","21,398","19,771","7.10M","-4.07%"
"03/02/2026","20,898","20,801","21,150","20,135","4.61M","0.68%"
"02/27/2026","20,757","20,800","21,257","20,403","7.94M","1.79%"
"02/26/2026","20,391","20,523","20,700","20,281","3.36M","-0.88%"
"02/25/2026","20,573","19,855","20,618","19,603","4.79M","3.95%"
"02/24/2026","19,792","19,472","19,872","19,333","3.05M","1.41%"
"02/23/2026","19,517","19,750","19,897","19,517","2.18M","-1.15%"
"02/20/2026","19,745","20,000","20,000","19,444","2.20M","1.47%"
"02/19/2026","19,458","19,715","20,201","19,300","3.79M","-2.49%"
"02/18/2026","19,955","19,600","20,076","19,600","5.33M","2.19%"
"02/17/2026","19,527","19,500","19,596","19,295","2.78M","0.08%"
"02/16/2026","19,511","19,327","19,742","19,256","3.42M","1.46%"
"02/13/2026","19,230","19,467","19,600","19,078","4.88M","-1.50%"
"02/12/2026","19,522","19,065","19,558","19,065","4.34M","1.62%"
"02/11/2026","19,210","19,003","19,546","18,907","4.37M","0.18%"
"02/10/2026","19,176","18,990","19,425","18,924","6.37M","1.88%"
"02/09/2026","18,823","18,410","18,880","18,200","5.11M","2.21%"
"02/06/2026","18,416","17,880","18,580","17,452","5.59M","4.66%"
"02/05/2026","17,596","18,500","18,526","17,451","7.37M","-5.76%"
"02/04/2026","18,671","18,750","18,852","18,279","3.29M","-0.19%"
"02/03/2026","18,706","18,548","18,928","18,420","5.98M","1.22%"
"02/02/2026","18,480","17,780","18,534","17,350","4.33M","2.14%"
"01/30/2026","18,093","17,800","18,526","17,720","8.11M","0.18%"
"01/29/2026","18,060","18,225","18,578","18,049","4.17M","0.48%"
"01/28/2026","17,974","18,278","18,472","17,942","4.42M","-1.78%"
"01/27/2026","18,300","18,399","18,646","18,163","5.38M","0.46%"
"01/26/2026","18,216","17,459","18,216","17,401","3.75M","3.39%"
"01/23/2026","17,618","18,121","18,427","17,568","5.30M","-3.99%"
"01/22/2026","18,350","17,441","18,664","17,242","5.23M","5.88%"
"01/21/2026","17,331","17,489","17,714","16,981","4.64M","-1.87%"
"01/20/2026","17,662","17,500","17,944","17,412","3.98M","0.00%"
"01/19/2026","17,662","17,784","18,002","17,501","2.59M","-1.43%"
"01/16/2026","17,918","17,541","17,961","17,402","4.57M","1.96%"
"01/15/2026","17,573","17,125","17,629","16,939","5.76M","2.26%"
"01/14/2026","17,184","17,600","17,807","17,080","4.69M","-2.36%"
"01/13/2026","17,600","17,461","17,778","17,405","4.05M","0.46%"
"01/12/2026","17,519","17,599","17,839","17,255","3.12M","-0.35%"
"01/09/2026","17,580","17,859","17,859","17,469","2.54M","-0.73%"
"01/08/2026","17,709","17,559","17,734","17,086","2.22M","1.03%"
"01/07/2026","17,528","17,720","17,720","17,195","4.62M","-0.30%"
"01/06/2026","17,581","16,872","17,738","16,872","4.13M","2.74%"
"01/05/2026","17,112","16,728","17,164","16,728","3.45M","0.71%"
"01/02/2026","16,992","17,000","17,272","16,766","1.79M","0.25%"
"12/31/2025","16,950","16,899","17,063","16,782","1.33M","0.24%"
"12/30/2025","16,909","16,886","17,068","16,698","1.26M","0.55%"
"12/29/2025","16,817","16,789","16,995","16,580","1.99M","1.07%"
"12/24/2025","16,639","16,502","16,741","16,478","713.05K","0.98%"
"12/23/2025","16,478","16,248","16,550","16,104","1.68M","2.09%"
"12/22/2025","16,140","15,901","16,218","15,731","2.39M","1.41%"
"12/19/2025","15,916","15,735","16,096","15,441","11.65M","0.35%"
"12/18/2025","15,860","16,450","16,689","15,716","14.88M","-3.29%"
"12/17/2025","16,399","15,719","16,399","15,622","5.70M","3.94%"
"12/15/2025","15,778","15,575","15,890","15,419","3.12M","0.99%"
"12/12/2025","15,623","14,950","15,949","14,950","3.06M","-0.99%"
"12/11/2025","15,780","15,750","15,971","15,494","4.52M","0.36%"
"12/10/2025","15,723","15,667","15,757","15,571","1.76M","-0.17%"
"12/09/2025","15,750","15,734","15,819","15,541","2.71M","0.10%"
"12/08/2025","15,734","15,899","15,978","15,641","3.08M","-0.42%"
"12/05/2025","15,801","15,720","15,970","15,720","2.19M","0.48%"
"12/04/2025","15,725","15,954","15,995","15,479","2.81M","-1.84%"
"12/03/2025","16,020","15,633","16,052","15,575","2.26M","1.39%"
"12/02/2025","15,800","15,834","15,907","15,472","2.09M","1.46%"
"12/01/2025","15,572","15,800","15,801","15,350","5.99M","-1.37%"
